paperId,title
1,Desenvolvendo um Sistema de Recomenda{\c c}{\~a}o de Objetos de Aprendizagem baseado em Compet{\^e}ncias para a Educa{\c c}{\~a}o: relato de experi{\^e}ncias
2,Recommender systems in technology enhanced learning
3,A \K\-Means Clustering Algorithm
4,What is an Ontology?
5,The Role of Trust and Deception in Virtual Societies
6,Sharing a Secret: How Kerberos Works
7,Using trust in recommender systems: an experimental analysis
8,What drives a successful e-Learning? An empirical investigation of the critical factors influencing learner satisfaction
9,Constructionist Design Methodology for Interactive Intelligences
10,A knowledge and collaboration-based CBR process to improve network performance-related support activities
11,2009 Annual Computer Security Applications Conference
12,Three-Layer OWL Ontology Design.
13,Codes: a web-based environment for cooperative music prototyping
14,Personalized Ontology-Based Recommender Systems for Multimedia Objects
15,Morphologically normal spermatozoa of patients with secretory oligo-astheno-teratozoospermia have an increased aneuploidy rate
16,Ontologies and knowledge bases
17,iTravel: A recommender system in mobile peer-to-peer environment
18,Power to the patients: The HealthNetsocial network
19,Improving collaborative recommendation of coupons through Digital TV by semantic inference of users' reputation
20,A social network-empowered research analytics framework for project selection
21,Digital immigrant teachers and digital native students: What happens to teaching?
22,Completing LOM-how additional axioms increase the utility of learning object metadata
23,An{\'a}lise autom{\'a}tica de temas discutidos por chat em uma Comunidade Virtual
24,Complexidade de Algoritmos
25,Collaborative filtering adapted to recommender systems of e-learning
26,Retention and Intention in Massive Open Online Courses: In Depth
27,Title
28,AMPLIA Learning Environment Architecture
29,The Ponder Policy Specification Language
30,Proceedings of the 2011 iConference on - iConference '11
31,O M{\'e}todo Cient{\'\i}fico
32,When is a Learning Object not an Object: A first step towards a theory of learning objects
33,Ontologia - Especifica{\c c}{\~a}o Formal do Mundo
34,An Agile Method for Developing OERs and its Application in Serious Game Design
35,Knowledge Representation on the Semantic Web
36,The sharable content object reference model (SCORM) - a critical review
37,Digital Libraries and \Autonomous Citation Indexing\
38,The ontological identity of learning objects: an analysis proposal
39,Multidimensional analysis model for a document warehouse that includes textual measures
40,M\\'e\todos e T\\'e\cnicas de pesquisa: Tipos de pesquisa e t\\'e\cnicas de investiga\\cc\\\{\textasciitilde}a\o cient\\'\i\fica
41,Linked data-the story so far
42,Towards TV Recommender System: Experiments with User Modeling
43,Comparing and evaluating information retrieval algorithms for news recommendation
44,Internet  o que {\'e}  o que oferece  como conectar-se
45,Recommender Systems for Human Resources Task Assignment.
